Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Diamonds, 5 of Diamonds, 3 of Hearts",18,"5 of Spades, 7 of Hearts, 6 of Spades",18,[],,0,10000,-10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Hearts, 8 of Hearts, 7 of Diamonds",22,"4 of Spades, 4 of Hearts, 4 of Clubs, Ace of Hearts, Ace of Clubs",24,[],,0,10000,-10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Clubs, Queen of Clubs",20,6 of Diamonds,6,Jack of Spades,10,-20,9960,-40,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"8 of Diamonds, 5 of Spades, 9 of Hearts",22,"10 of Hearts, 5 of Hearts, 3 of Clubs",18,[],,20,9970,10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Clubs, 10 of Hearts",20,"7 of Diamonds, 10 of Hearts",17,[],,-10,9950,-20,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Diamonds, 6 of Hearts, 6 of Spades, King of Hearts",24,"9 of Clubs, 8 of Hearts",17,[],,20,9960,10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Hearts, 9 of Spades, 6 of Clubs",20,6 of Hearts,6,10 of Diamonds,10,-20,9920,-40,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Hearts, 4 of Spades, 9 of Diamonds",23,"9 of Spades, 2 of Spades, 6 of Diamonds",17,[],,20,9930,10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, 3 of Spades, 5 of Spades, 3 of Clubs",17,"King of Clubs, Queen of Hearts",20,[],,20,9940,10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Diamonds, Ace of Spades",21,"5 of Diamonds, 9 of Hearts, King of Spades",24,[],,-10,9920,-20,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
