Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Spades, 6 of Spades, Jack of Clubs",26,"5 of Hearts, King of Hearts, 3 of Clubs",18,[],,20,10010,10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Spades, King of Spades",21,"5 of Clubs, Queen of Diamonds, Ace of Diamonds, 2 of Spades",18,[],,-10,9990,-20,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Spades, 3 of Diamonds, 10 of Diamonds",23,"King of Clubs, 4 of Spades, Queen of Clubs",24,[],,0,9990,-10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Hearts, 3 of Spades, 4 of Diamonds",17,"5 of Spades, 9 of Hearts, 9 of Hearts",23,[],,-10,9970,-20,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Hearts, Ace of Spades",21,"3 of Diamonds, 6 of Hearts, 8 of Clubs",17,[],,-10,9950,-20,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Diamonds, King of Hearts, 3 of Hearts",18,"King of Clubs, Queen of Hearts",20,[],,20,9960,10,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Diamonds, Queen of Diamonds",20,"2 of Clubs, 10 of Spades, 7 of Clubs",19,[],,-10,9940,-20,strat2
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Hearts, 8 of Spades",18,"4 of Spades, 2 of Diamonds, 6 of Diamonds, King of Hearts",22,[],,-10,9920,-20,strat2
