Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Diamonds, Jack of Clubs",19,"2 of Clubs, 9 of Clubs, King of Clubs",21,[],,20,10010,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Clubs, 2 of Spades, 9 of Hearts, 7 of Spades",23,"Queen of Hearts, 5 of Hearts, Queen of Diamonds, Ace of Spades",26,[],,0,10010,-10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Hearts, 8 of Hearts",18,"7 of Clubs, 2 of Clubs, 10 of Spades",19,[],,20,10020,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"8 of Clubs, King of Clubs",18,"6 of Diamonds, 2 of Clubs, King of Clubs",18,[],,0,10020,-10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Clubs, 6 of Spades, Ace of Diamonds",21,"Queen of Diamonds, 5 of Spades, Jack of Diamonds",25,[],,-10,10000,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"3 of Clubs, 7 of Hearts, King of Diamonds",20,"6 of Diamonds, 8 of Hearts, King of Hearts",24,[],,-10,9980,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Hearts, Ace of Hearts",21,"8 of Diamonds, Ace of Spades",19,[],,-10,9960,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Diamonds, 3 of Spades, 7 of Hearts",21,"4 of Hearts, 9 of Diamonds, 5 of Clubs",18,[],,-10,9940,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
