Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"3 of Diamonds, Jack of Clubs, Jack of Diamonds",23,"10 of Spades, Jack of Clubs",20,[],,20,10010,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Clubs, 5 of Diamonds, 8 of Diamonds",23,"2 of Spades, 2 of Spades, 5 of Hearts, 7 of Diamonds, 9 of Diamonds",25,[],,0,10010,-10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, 3 of Diamonds, 10 of Diamonds",19,"King of Diamonds, Jack of Hearts",20,[],,20,10020,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Spades, 3 of Clubs, 2 of Diamonds, 6 of Diamonds, Ace of Hearts",22,"9 of Clubs, 9 of Spades",18,[],,20,10030,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Hearts, Ace of Clubs",18,"4 of Diamonds, 4 of Hearts, 9 of Diamonds",17,[],,-10,10010,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Hearts, 5 of Spades, Jack of Clubs",24,"4 of Spades, 3 of Spades, Jack of Hearts",17,[],,20,10020,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Clubs, 4 of Diamonds, 2 of Hearts, Queen of Spades",18,"5 of Diamonds, 9 of Hearts, King of Spades",24,[],,-10,10000,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Clubs, 2 of Spades, 7 of Clubs",19,"9 of Spades, 9 of Diamonds",18,[],,-10,9980,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Clubs, 10 of Hearts",20,"8 of Clubs, 7 of Clubs, 8 of Clubs",23,[],,-10,9960,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Hearts, 7 of Spades, 5 of Spades",17,"King of Diamonds, 9 of Clubs",19,[],,20,9970,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Diamonds, 4 of Diamonds, 6 of Spades",19,"Queen of Spades, Jack of Hearts",20,[],,20,9980,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Clubs, 2 of Hearts, 3 of Hearts, Queen of Hearts",25,"5 of Clubs, 8 of Clubs, Ace of Diamonds, 3 of Spades",17,[],,20,9990,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Diamonds, Jack of Diamonds, Ace of Clubs",17,"4 of Hearts, 10 of Spades, 10 of Spades",24,[],,-10,9970,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Diamonds, 10 of Hearts",19,"3 of Diamonds, 8 of Hearts, Jack of Hearts",21,[],,20,9980,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, Queen of Hearts, 4 of Diamonds",20,"Ace of Spades, 2 of Hearts, 6 of Diamonds",19,[],,-10,9960,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Hearts, 9 of Hearts, 8 of Clubs",21,"8 of Hearts, 2 of Clubs, 6 of Hearts",16,[],,-10,9940,-20,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Spades, 7 of Spades",17,"10 of Spades, King of Spades",20,[],,20,9950,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Clubs, Queen of Diamonds",19,"King of Diamonds, Ace of Diamonds",21,[],,20,9960,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Spades, 4 of Diamonds, 9 of Spades",23,"5 of Clubs, King of Hearts, 2 of Hearts",17,[],,20,9970,10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Hearts, 7 of Diamonds",17,"2 of Hearts, Queen of Clubs, Ace of Spades, 4 of Clubs",17,[],,0,9970,-10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Clubs, 5 of Diamonds, 6 of Hearts, Ace of Hearts, 4 of Spades",18,"7 of Hearts, 3 of Hearts, 8 of Diamonds",18,[],,0,9970,-10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Diamonds, 8 of Diamonds, Jack of Diamonds",25,"10 of Diamonds, 4 of Hearts, Queen of Diamonds",24,[],,0,9970,-10,strat3
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"8 of Clubs, Queen of Clubs",18,"3 of Diamonds, Jack of Diamonds, Queen of Spades",23,[],,-10,9950,-20,strat3
