Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"3 of Clubs, Jack of Spades, 2 of Clubs, Queen of Diamonds, Ace of Clubs",26,"9 of Clubs, Jack of Hearts",19,[],,20,10010,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, 2 of Spades, Ace of Diamonds",19,"5 of Spades, 4 of Hearts, 7 of Diamonds, 2 of Hearts",18,[],,-10,9990,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Spades, 6 of Diamonds, Queen of Diamonds",21,"Jack of Diamonds, 10 of Spades",20,[],,-10,9970,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Spades, King of Hearts",20,"King of Spades, 2 of Diamonds, Queen of Spades",22,[],,-10,9950,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Clubs, Queen of Hearts, 3 of Hearts",18,"8 of Clubs, 5 of Diamonds, Jack of Spades, Ace of Hearts",24,[],,-10,9930,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Hearts, 6 of Clubs, Jack of Spades",23,"3 of Hearts, 6 of Clubs, 6 of Spades, 6 of Clubs",21,[],,20,9940,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Diamonds, 9 of Spades",19,"10 of Diamonds, 8 of Diamonds",18,[],,-10,9920,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Hearts, 4 of Clubs, 4 of Diamonds, 3 of Spades, 5 of Hearts",18,"King of Hearts, King of Diamonds",20,[],,20,9930,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Hearts, 9 of Hearts",19,"3 of Hearts, 5 of Hearts, 9 of Diamonds",17,[],,-10,9910,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Spades, King of Diamonds, 9 of Spades",23,"6 of Spades, 7 of Clubs, 7 of Diamonds",20,[],,20,9920,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Hearts, Queen of Clubs",20,"Queen of Diamonds, 5 of Clubs, 10 of Diamonds",25,[],,-10,9900,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Hearts, 2 of Spades, 6 of Hearts",18,"10 of Clubs, 9 of Diamonds",19,[],,20,9910,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Hearts, 5 of Hearts, 4 of Diamonds, 6 of Hearts, Ace of Clubs",22,"5 of Spades, Queen of Hearts, 8 of Diamonds",23,[],,0,9910,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Spades, Queen of Spades, Jack of Spades",22,"4 of Hearts, 10 of Hearts, 9 of Hearts",23,[],,0,9910,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Hearts, 8 of Hearts, 2 of Clubs, 3 of Spades",17,"8 of Spades, 9 of Diamonds",17,[],,0,9910,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Diamonds, Ace of Clubs",17,"6 of Spades, 6 of Hearts, 6 of Hearts",18,[],,20,9920,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Diamonds, 3 of Diamonds, 3 of Diamonds, 5 of Clubs",18,"3 of Diamonds, King of Clubs, 9 of Hearts",22,[],,-10,9900,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Hearts, Jack of Diamonds",20,"2 of Hearts, 7 of Spades, 9 of Spades",18,[],,-10,9880,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Clubs, Jack of Diamonds, King of Diamonds",24,"7 of Clubs, 6 of Spades, 9 of Clubs",22,[],,0,9880,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"8 of Spades, King of Hearts",18,"Ace of Diamonds, 9 of Diamonds",20,[],,20,9890,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Clubs, 2 of Spades, 7 of Clubs, 7 of Hearts",20,"3 of Diamonds, 3 of Hearts, 8 of Clubs, 7 of Hearts",21,[],,20,9900,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Hearts, King of Spades",21,"9 of Diamonds, Queen of Spades",19,[],,-10,9880,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Clubs, 6 of Spades, 2 of Clubs",18,"7 of Spades, 5 of Hearts, 6 of Diamonds",18,[],,0,9880,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Diamonds, Queen of Diamonds, Queen of Hearts",25,"Ace of Spades, 10 of Clubs",21,[],,20,9890,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Spades, 10 of Hearts",20,"3 of Clubs, Ace of Spades, 5 of Spades",19,[],,-10,9870,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Diamonds, 8 of Clubs",18,"9 of Clubs, 8 of Hearts",17,[],,-10,9850,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
