Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Spades, Jack of Hearts",20,"4 of Spades, 5 of Clubs, 4 of Hearts, Queen of Diamonds",23,[],,-10,9980,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Spades, Ace of Diamonds",22,"10 of Clubs, 10 of Clubs",20,[],,20,9990,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Clubs, 7 of Hearts",17,"9 of Hearts, Jack of Spades",19,[],,20,10000,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Hearts, Ace of Spades",21,"3 of Clubs, 3 of Diamonds, Jack of Diamonds, Jack of Diamonds",26,[],,-10,9980,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Diamonds, Ace of Spades",17,"10 of Spades, 5 of Clubs, Queen of Diamonds",25,[],,-10,9960,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Hearts, King of Clubs",20,"4 of Spades, 4 of Diamonds, 2 of Clubs, 8 of Clubs",18,[],,-10,9940,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Clubs, 7 of Diamonds",17,"3 of Spades, 5 of Diamonds, 8 of Clubs, Queen of Hearts",26,[],,-10,9920,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"3 of Spades, 3 of Spades, King of Hearts, 5 of Diamonds",21,"King of Spades, 9 of Spades",19,[],,-10,9900,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Hearts, 6 of Diamonds, Jack of Hearts",26,"3 of Spades, 8 of Hearts, 3 of Diamonds, 8 of Spades, Ace of Diamonds",23,[],,0,9900,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Hearts, 4 of Clubs, 6 of Clubs, 5 of Clubs",21,"King of Hearts, 3 of Spades, 6 of Clubs",19,[],,-10,9880,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"King of Diamonds, 10 of Spades",20,"8 of Spades, 8 of Hearts, 6 of Hearts",22,[],,-10,9860,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Spades, 7 of Hearts, King of Hearts",24,"7 of Hearts, Ace of Diamonds",18,[],,20,9870,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Diamonds, 8 of Hearts, 2 of Diamonds, 9 of Hearts",21,"9 of Spades, 4 of Spades, 8 of Clubs, Ace of Clubs",22,[],,-10,9850,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Jack of Clubs, Ace of Hearts",21,"Queen of Clubs, Jack of Hearts",20,[],,-10,9830,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Diamonds, 8 of Hearts",19,"4 of Hearts, King of Diamonds, 3 of Diamonds",17,[],,-10,9810,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Hearts, Queen of Hearts",21,"King of Clubs, Ace of Clubs",21,[],,0,9810,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"3 of Clubs, Jack of Spades, 10 of Diamonds",23,"3 of Clubs, 6 of Hearts, 2 of Diamonds, 7 of Spades",18,[],,20,9820,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Hearts, 8 of Diamonds, 6 of Spades",19,"Jack of Hearts, 2 of Hearts, 5 of Spades",17,[],,-10,9800,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Diamonds, 10 of Clubs",20,"7 of Clubs, 5 of Hearts, 5 of Clubs",17,[],,-10,9780,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Diamonds, 7 of Diamonds, King of Hearts",22,"King of Spades, 9 of Clubs",19,[],,20,9790,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Clubs, 8 of Hearts",18,"Jack of Spades, 10 of Diamonds",20,[],,20,9800,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"8 of Hearts, 4 of Diamonds, 8 of Spades",20,"2 of Clubs, Jack of Spades, 7 of Diamonds",19,[],,-10,9780,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, 3 of Diamonds, 4 of Hearts, Queen of Clubs",23,"9 of Clubs, 9 of Spades",18,[],,20,9790,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"3 of Clubs, 5 of Spades, Ace of Clubs",19,"4 of Spades, 4 of Clubs, King of Spades",18,[],,-10,9770,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, 6 of Spades, 8 of Clubs",20,"5 of Hearts, 7 of Hearts, Queen of Spades",22,[],,-10,9750,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Ace of Diamonds, 6 of Hearts",17,"9 of Diamonds, 2 of Spades, 5 of Spades",16,[],,-20,9710,-40,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Spades, 2 of Clubs, 3 of Clubs, 9 of Hearts",20,"5 of Clubs, 8 of Diamonds, 3 of Hearts, King of Clubs",26,[],,-10,9690,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Diamonds, Ace of Hearts",18,"10 of Diamonds, 7 of Diamonds",17,[],,-10,9670,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"8 of Spades, 10 of Hearts",18,"Ace of Hearts, 7 of Hearts",18,[],,0,9670,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Clubs, 6 of Diamonds, 10 of Hearts, Ace of Clubs",26,"King of Hearts, Jack of Spades",20,[],,20,9680,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Diamonds, 9 of Hearts, Queen of Spades",24,"King of Diamonds, King of Clubs",20,[],,20,9690,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Spades, 6 of Clubs, 3 of Clubs, Jack of Diamonds",24,"7 of Spades, 7 of Clubs, 2 of Spades, 6 of Diamonds",22,[],,0,9690,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"10 of Clubs, 10 of Diamonds",20,"7 of Diamonds, Jack of Clubs",17,[],,-10,9670,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"9 of Diamonds, 4 of Spades, Ace of Hearts, Ace of Spades",25,"10 of Spades, 4 of Clubs, Jack of Hearts",24,[],,0,9670,-10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Clubs, Queen of Diamonds",20,"5 of Hearts, King of Diamonds, 2 of Clubs",17,[],,-10,9650,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Clubs, Jack of Diamonds, 7 of Spades",21,"6 of Hearts, 4 of Diamonds, Jack of Clubs",20,[],,-10,9630,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
